City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
239,Puerto Escondido,MX,2021-09-21 12:29:49,15.85,-97.0667,76.03,41,90,5.75
240,New Norfolk,AU,2021-09-21 12:26:54,-42.7826,147.0587,53.1,71,100,4.0
241,Micheweni,TZ,2021-09-21 12:29:49,-4.9667,39.8333,81.16,64,5,11.92
242,Xaxim,BR,2021-09-21 12:29:50,-26.9617,-52.5347,64.78,88,67,5.88
243,Veraval,IN,2021-09-21 12:29:50,20.9,70.3667,82.96,81,83,14.5
244,Lavrentiya,RU,2021-09-21 12:28:50,65.5833,-171.0,32.09,67,84,8.23
245,Newcastle,AU,2021-09-21 12:29:17,-32.9272,151.7765,57.81,82,40,9.22
246,Khani,GE,2021-09-21 12:29:50,41.9563,42.9566,78.37,34,44,5.12
247,Valleyview,CA,2021-09-21 12:29:50,55.0667,-117.2859,44.64,87,100,13.8
248,Christchurch,NZ,2021-09-21 12:29:51,-43.5333,172.6333,57.4,54,75,9.22
249,Sao Miguel Do Araguaia,BR,2021-09-21 12:29:51,-13.275,-50.1628,93.83,14,15,5.61
250,Toamasina,MG,2021-09-21 12:29:51,-18.1667,49.3833,77.0,73,20,6.91
251,Pangnirtung,CA,2021-09-21 12:29:04,66.1451,-65.7125,33.8,64,75,4.61
252,Canutama,BR,2021-09-21 12:29:52,-6.5339,-64.3831,77.7,84,93,2.55
253,Great Bend,US,2021-09-21 12:29:52,38.3645,-98.7648,57.61,81,1,1.99
254,Ukmerge,LT,2021-09-21 12:29:52,55.25,24.75,46.4,85,100,9.91
255,La Rioja,ES,2021-09-21 12:25:08,42.25,-2.5,59.04,86,99,3.44
256,Boffa,GN,2021-09-21 12:29:52,10.1667,-14.0333,87.46,67,62,2.68
257,Ratne,UA,2021-09-21 12:29:53,51.6683,24.5303,46.18,84,100,13.0
258,Dakar,SN,2021-09-21 12:27:34,14.6937,-17.4441,90.48,79,20,9.22
259,Marawi,PH,2021-09-21 12:29:01,7.9986,124.2928,65.64,92,100,2.15
260,Poum,NC,2021-09-21 12:28:05,-20.2333,164.0167,72.73,70,15,7.99
261,Boende,CD,2021-09-21 12:28:19,-0.2167,20.8667,90.36,46,91,1.88
262,Jawa,JO,2021-09-21 12:29:53,31.8525,35.9393,91.18,18,0,0.0
263,Constitucion,CL,2021-09-21 12:28:19,-35.3333,-72.4167,51.98,66,0,4.56
264,Puertollano,ES,2021-09-21 12:29:53,38.6871,-4.1073,68.2,40,0,16.22
265,Shizunai,JP,2021-09-21 12:29:54,42.3339,142.3669,63.75,89,72,12.82
266,Mokolo,CM,2021-09-21 12:28:02,10.7398,13.8019,83.48,58,65,6.89
267,Longyearbyen,SJ,2021-09-21 12:29:03,78.2186,15.6401,42.64,93,75,2.3
268,Tabuk,PH,2021-09-21 12:29:54,17.4189,121.4443,77.22,88,54,2.75
269,Glendive,US,2021-09-21 12:29:54,47.1053,-104.7125,49.17,56,15,6.44
270,Breyten,ZA,2021-09-21 12:29:54,-26.3018,29.987,60.78,58,70,12.15
271,Malkapur,IN,2021-09-21 12:29:55,20.8833,76.2,83.12,76,74,7.38
272,Ust-Kan,RU,2021-09-21 12:29:55,50.9276,84.761,34.68,83,100,4.03
273,Kailua,US,2021-09-21 12:29:55,21.4022,-157.7394,78.78,73,20,11.5
274,Gorontalo,ID,2021-09-21 12:24:57,0.5412,123.0595,75.81,95,100,4.41
275,Las Palmas,ES,2021-09-21 12:29:55,28.4204,-14.0131,75.99,65,40,16.11
276,Poya,NC,2021-09-21 12:29:56,-21.35,165.15,67.93,75,29,2.13
277,Maniitsoq,GL,2021-09-21 12:29:56,65.4167,-52.9,30.99,70,90,9.4
278,Portland,US,2021-09-21 12:27:29,45.5234,-122.6762,59.09,89,1,8.01
279,Neepawa,CA,2021-09-21 12:29:56,50.2289,-99.4664,37.81,64,5,9.53
280,Wattegama,LK,2021-09-21 12:29:56,6.7989,81.4808,83.32,59,86,2.3
281,Harlingen,US,2021-09-21 12:29:57,26.1906,-97.6961,82.2,94,1,6.91
282,Libohove,AL,2021-09-21 12:29:57,40.0311,20.2631,79.68,36,23,6.93
283,Prince Rupert,CA,2021-09-21 12:28:40,54.3161,-130.3201,55.09,97,90,14.97
284,Mairana,BO,2021-09-21 12:29:57,-18.1167,-63.9333,59.2,84,43,2.64
285,Lahaina,US,2021-09-21 12:27:53,20.8783,-156.6825,77.0,74,81,9.48
286,Simbahan,PH,2021-09-21 12:29:58,6.3032,120.5836,81.3,79,95,8.81
287,Broome,US,2021-09-21 12:29:08,42.2506,-75.833,61.92,82,1,1.01
288,Olathe,US,2021-09-21 12:29:58,38.8814,-94.8191,59.14,83,40,3.0
289,Bereda,ES,2021-09-21 12:29:58,43.2686,-7.5406,69.01,69,2,9.4
290,Leningradskiy,RU,2021-09-21 12:27:38,69.3833,178.4167,23.68,90,100,11.65
291,Tevriz,RU,2021-09-21 12:29:58,57.509,72.4042,40.26,82,100,8.5
292,Santa Lucia,ES,2021-09-21 12:29:59,27.9117,-15.5407,70.92,62,40,23.02
293,Talnakh,RU,2021-09-21 12:27:09,69.4865,88.3972,32.7,85,46,6.31
294,Norman Wells,CA,2021-09-21 12:27:54,65.282,-126.8329,48.24,57,75,5.75
