City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
630,Aquiraz,BR,80.19,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
631,Vao,NC,71.29,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
633,Manta,EC,79.86,overcast clouds,-0.95,-80.7333,Balandra Hotel
635,Popova,RU,68.07,few clouds,42.9603,131.7228,Baza Otdykha Zvezda
638,Pierre,US,68.05,few clouds,44.3683,-100.351,Ramkota Hotel
639,Sadri,IN,77.63,overcast clouds,25.1833,73.4333,Chandra Hill Resort
641,Cockburn Town,TC,83.46,clear sky,21.4612,-71.1419,Osprey Beach Hotel
643,Haileybury,CA,70.54,overcast clouds,47.449,-79.6373,Haileybury Beach Motel
644,Castellammare Del Golfo,IT,77.29,clear sky,38.0188,12.8858,Cerri Hotel
649,Luganville,VU,75.7,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
650,Tual,ID,79.72,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
651,Panzhihua,CN,66.16,scattered clouds,26.5851,101.7128,Electric Power Hotel
652,Dongying,CN,65.52,light rain,37.4564,118.4856,Wanda Realm
657,Yuanli,TW,80.8,scattered clouds,24.4397,120.6535,東里家風古厝民宿
660,Nanakuli,US,79.11,broken clouds,21.3906,-158.1547,Camp Pālehua
661,Inhambane,MZ,70.2,few clouds,-23.865,35.3833,Oceano
666,Bulata,PH,78.78,overcast clouds,9.8599,122.4016,Punta Bulata Resort & Spa
667,Panlaitan,PH,80.76,overcast clouds,12.1191,119.8486,Panlaitan Cetro Beach
668,Faya,SA,70.95,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
670,Paka,MY,77.83,moderate rain,4.6374,103.4368,RUMBIA RESORT VILLA
671,Lata,PT,78.08,clear sky,40.1629,-8.3327,Casa Maquia
673,Naze,JP,76.24,few clouds,28.3667,129.4833,オーベルジュ・アガルイ
676,Santiago,CL,68.67,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
678,Charleston,US,78.13,light rain,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
679,Dingle,PH,74.59,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
683,Mvuma,ZW,72.05,few clouds,-19.2792,30.5283,Nyangombe Backpackers
